Step,Training Loss,Learning Rate
63400,2.7146,2.1305e-04
63500,2.8317,2.1209e-04
63600,3.0970,2.1113e-04
63700,3.8490,2.1017e-04
63800,4.0646,2.0921e-04
63900,3.0231,2.0825e-04
64000,3.6631,2.0698e-04
64100,3.3624,2.0602e-04
64200,3.0474,2.0507e-04
64300,2.7940,2.0412e-04
64400,3.3381,2.0316e-04
64500,3.6359,2.0221e-04
64600,4.0972,2.0126e-04
64700,3.1756,2.0031e-04
64800,3.2435,1.9905e-04
64900,3.2780,1.9810e-04
65000,3.5475,1.9716e-04
65100,3.6367,1.9622e-04
65200,3.4328,1.9527e-04
65300,2.8130,1.9433e-04
65400,2.7884,1.9339e-04
65500,3.6585,1.9245e-04
65600,3.4881,1.9120e-04
65700,3.5002,1.9027e-04
65800,3.0312,1.8933e-04
65900,3.3882,1.8840e-04
66000,3.4943,1.8746e-04
66100,2.6893,1.8653e-04
66200,3.0430,1.8560e-04
66300,2.5448,1.8467e-04
66400,3.3228,1.8344e-04
66500,2.9186,1.8251e-04
66600,3.0974,1.8159e-04
66700,4.1730,1.8067e-04
66800,4.2617,1.7974e-04
66900,3.4501,1.7882e-04
67000,2.9440,1.7790e-04
67100,2.9813,1.7699e-04
67200,2.9272,1.7577e-04
67300,3.4570,1.7485e-04
67400,3.1594,1.7394e-04
67500,3.4950,1.7303e-04
67600,3.0618,1.7212e-04
67700,3.2663,1.7121e-04
67800,3.5532,1.7030e-04
67900,3.7186,1.6939e-04
68000,3.7234,1.6819e-04
68100,3.4628,1.6729e-04
68200,3.8740,1.6639e-04
68300,3.5174,1.6549e-04
68400,3.5809,1.6459e-04
68500,3.1882,1.6369e-04
68600,2.9147,1.6280e-04
68700,3.6963,1.6190e-04
68800,3.1722,1.6072e-04
68900,3.8335,1.5983e-04
69000,3.2942,1.5894e-04
69100,3.2369,1.5805e-04
69200,2.8195,1.5717e-04
69300,3.5069,1.5628e-04
69400,3.3726,1.5540e-04
69500,3.3741,1.5452e-04
69600,3.2003,1.5335e-04
69700,3.6344,1.5248e-04
69800,3.2195,1.5160e-04
69900,2.9408,1.5073e-04
70000,3.4157,1.4986e-04
70100,3.4794,1.4899e-04
